ID_Parcela;Predio;INDV;CAP;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C;;;;;;;
PL104;Porvenir;38;48,3;15,37;10;30;15;18,68;7,47;4,67;3;0,02;0,06;0,04;;;;;;;
PL104;Porvenir;35;48,4;15,41;10;30;15;22,62;9,05;5,66;;0,02;0,08;0,05;;;;;;;
PL104;Porvenir;34;48,9;15,57;10;30;15;20,98;8,39;5,25;;0,02;0,07;0,05;;;;;;;
PL104;Porvenir;8;49,3;15,69;10;35;15;21,63;9,73;5,41;;0,02;0,09;0,05;;;;;;;
PL104;Porvenir;41;49,4;15,72;10;40;15;20,82;10,41;5,21;2;0,02;0,09;0,05;;;;;;;
PL104;Porvenir;29;49,5;15,76;10;35;15;19,59;8,82;4,90;2;0,02;0,08;0,04;;;;;;;
PL104;Porvenir;19;49,8;15,85;10;45;20;14,66;8,06;4,40;2;0,02;0,07;0,04;;;;;;;
PL104;Porvenir;43;51,1;16,27;10;40;15;18,6;9,30;4,65;2;0,02;0,09;0,04;;;;;;;
PL104;Porvenir;36;51,1;16,27;10;30;15;22,18;8,87;5,55;;0,02;0,08;0,05;;;;;;;
PL104;Porvenir;1;51,8;16,49;10;35;15;17,83;8,02;4,46;;0,02;0,08;0,04;;;;;;;
PL104;Porvenir;22;52,1;16,58;10;40;20;19,16;9,58;5,75;2;0,02;0,09;0,06;;;;;;;
PL104;Porvenir;44;52,3;16,65;10;45;15;20,78;11,43;5,20;2;0,02;0,11;0,05;;;;;;;
PL104;Porvenir;47;52,6;16,74;10;30;10;21;8,40;4,20;;0,02;0,08;0,04;;;;;;;
PL104;Porvenir;3;53,2;16,93;10;45;20;19;10,45;5,70;;0,02;0,11;0,06;;;;;;;
PL104;Porvenir;9;53,7;17,09;10;40;20;18,95;9,48;5,69;;0,02;0,10;0,06;;;;;;;
PL104;Porvenir;15;55,7;17,73;10;40;20;18,57;9,29;5,57;2;0,02;0,10;0,06;;;;;;;
PL104;Porvenir;45;55,9;17,79;10;45;15;20,35;11,19;5,09;2;0,02;0,13;0,06;;;;;;;
PL104;Porvenir;30;56,4;17,95;10;40;20;19;9,50;5,70;;0,03;0,11;0,07;;;;;;;
PL104;Porvenir;14;59,3;18,88;10;40;20;16,36;8,18;4,91;;0,03;0,10;0,06;;;;;;;
PL104;Porvenir;17;60;19,10;10;40;20;21,16;10,58;6,35;2;0,03;0,14;0,08;;;;;;;
PL104;Porvenir;4;61,7;19,64;10;35;15;19,17;8,63;4,79;2;0,03;0,12;0,07;;;;;;;
PL105;Morichal ;14B;35,5;11,30;10;30;10;18,93;7,57;3,79;;0,01;0,03;0,02;;;;;;;
PL105;Morichal ;6;39,6;12,61;10;25;10;15,85;5,55;3,17;;0,01;0,03;0,02;;;;;;;
PL105;Morichal ;31B;39,6;12,61;10;30;10;18,78;7,51;3,76;;0,01;0,04;0,02;;;;;;;
PL105;Morichal ;19;41,9;13,34;10;45;20;15,32;8,43;4,60;;0,01;0,05;0,03;;;;;;;
PL105;Morichal ;5;42;13,37;10;45;17;16,8;9,24;4,54;;0,01;0,06;0,03;;;;;;;
PL105;Morichal ;14;43,6;13,88;10;30;10;18,79;7,52;3,76;2;0,02;0,05;0,03;;;;;;;
PL105;Morichal ;15;45,3;14,42;10;30;0;16,8;6,72;1,68;2;0,02;0,05;0,01;;;;;;;
PL105;Morichal ;31;45,5;14,48;10;30;15;18,62;7,45;4,66;;0,02;0,06;0,03;;;;;;;
PL105;Morichal ;11;45,7;14,55;10;30;15;17,5;7,00;4,38;;0,02;0,05;0,03;;;;;;;
PL105;Morichal ;20;45,9;14,61;10;45;20;20,7;11,39;6,21;;0,02;0,09;0,05;;;;;;;
PL105;Morichal ;30;45,9;14,61;10;40;20;18,59;9,30;5,58;2;0,02;0,07;0,04;;;;;;;
PL105;Morichal ;7;46,3;14,74;10;35;15;15,41;6,93;3,85;;0,02;0,05;0,03;;;;;;;
PL105;Morichal ;26;46,3;14,74;10;40;20;14,72;7,36;4,42;;0,02;0,06;0,03;;;;;;;
